Data,Ticker,Preco_Fechamento
2022-07-01,ELET3.SA,
2022-07-04,ELET3.SA,
2022-07-05,ELET3.SA,
2022-07-06,ELET3.SA,
2022-07-07,ELET3.SA,
2022-07-08,ELET3.SA,
2022-07-11,ELET3.SA,
2022-07-12,ELET3.SA,
2022-07-13,ELET3.SA,
2022-07-14,ELET3.SA,
2022-07-15,ELET3.SA,
2022-07-18,ELET3.SA,
2022-07-19,ELET3.SA,
2022-07-20,ELET3.SA,
2022-07-21,ELET3.SA,
2022-07-22,ELET3.SA,
2022-07-25,ELET3.SA,
2022-07-26,ELET3.SA,
2022-07-27,ELET3.SA,
2022-07-28,ELET3.SA,
2022-07-29,ELET3.SA,
2022-08-01,ELET3.SA,
2022-08-02,ELET3.SA,
2022-08-03,ELET3.SA,
2022-08-04,ELET3.SA,
2022-08-05,ELET3.SA,
2022-08-08,ELET3.SA,
2022-08-09,ELET3.SA,
2022-08-10,ELET3.SA,
2022-08-11,ELET3.SA,
2022-08-12,ELET3.SA,
2022-08-15,ELET3.SA,
2022-08-16,ELET3.SA,
2022-08-17,ELET3.SA,
2022-08-18,ELET3.SA,
2022-08-19,ELET3.SA,
2022-08-22,ELET3.SA,
2022-08-23,ELET3.SA,
2022-08-24,ELET3.SA,
2022-08-25,ELET3.SA,
2022-08-26,ELET3.SA,
2022-08-29,ELET3.SA,
2022-08-30,ELET3.SA,
2022-08-31,ELET3.SA,
2022-09-01,ELET3.SA,
2022-09-02,ELET3.SA,
2022-09-05,ELET3.SA,
2022-09-06,ELET3.SA,
2022-09-08,ELET3.SA,
2022-09-09,ELET3.SA,
2022-09-12,ELET3.SA,
2022-09-13,ELET3.SA,
2022-09-14,ELET3.SA,
2022-09-15,ELET3.SA,
2022-09-16,ELET3.SA,
2022-09-19,ELET3.SA,
2022-09-20,ELET3.SA,
2022-09-21,ELET3.SA,
2022-09-22,ELET3.SA,
2022-09-23,ELET3.SA,
2022-09-26,ELET3.SA,
2022-09-27,ELET3.SA,
2022-09-28,ELET3.SA,
2022-09-29,ELET3.SA,
2022-09-30,ELET3.SA,
2022-10-03,ELET3.SA,
2022-10-04,ELET3.SA,
2022-10-05,ELET3.SA,
2022-10-06,ELET3.SA,
2022-10-07,ELET3.SA,
2022-10-10,ELET3.SA,
2022-10-11,ELET3.SA,
2022-10-13,ELET3.SA,
2022-10-14,ELET3.SA,
2022-10-17,ELET3.SA,
2022-10-18,ELET3.SA,
2022-10-19,ELET3.SA,
2022-10-20,ELET3.SA,
2022-10-21,ELET3.SA,
2022-10-24,ELET3.SA,
2022-10-25,ELET3.SA,
2022-10-26,ELET3.SA,
2022-10-27,ELET3.SA,
2022-10-28,ELET3.SA,
2022-10-31,ELET3.SA,
2022-11-01,ELET3.SA,
2022-11-03,ELET3.SA,
2022-11-04,ELET3.SA,
2022-11-07,ELET3.SA,
